stop_id,stop_name,stop_lat,stop_lon
koebr_guldenstr,koebr_guldenstr,,
koebr_augsburger_str,koebr_augsburger_str,,
koebr_mindelheimer_str,koebr_mindelheimer_str,,
koenigsbrunn_zentrum,koenigsbrunn_zentrum,,
oberhausen_nord,oberhausen_nord,,
zollernstr,zollernstr,,
baerenwirt,baerenwirt,,
drentwettstr,drentwettstr,,
plaerrer,plaerrer,,
curt_frenzel_stadion,curt_frenzel_stadion,,
bgm_bohl_str,bgm_bohl_str,,
herz_jesu_kirche,herz_jesu_kirche,,
eberlestr,eberlestr,,
luitpoldbruecke,luitpoldbruecke,,
rosenaustr,rosenaustr,,
gaertnerstr,gaertnerstr,,
wilhelm_hauff_str,wilhelm_hauff_str,,
afrabruecke,afrabruecke,,
rudolf_diesel_gymn,rudolf_diesel_gymn,,
friedbg_maria_alber,friedbg_maria_alber,,
friedberg_west_pr,friedberg_west_pr,,
